frame,LeftHFTBA_x,LeftHFTBA_y,LeftHFTBA_z,LeftFFHFA_x,LeftFFHFA_y,LeftFFHFA_z,LeftHXFFA_x,LeftHXFFA_y,LeftHXFFA_z,LeftFFTBA_x,LeftFFTBA_y,LeftFFTBA_z,RightHFTBA_x,RightHFTBA_y,RightHFTBA_z,RightFFHFA_x,RightFFHFA_y,RightFFHFA_z,RightHXFFA_x,RightHXFFA_y,RightHXFFA_z,RightFFTBA_x,RightFFTBA_y,RightFFTBA_z
0,8.982072257017837,1.831259438872324,3.8771577437412517,-2.49577238260251,-3.5510971143205006,-4.796903826405141,-2.1276851138141497,-14.843885802222067,-4.2044731060313274e-13,6.255596260973508,-1.5450874258818037,-1.003938107772568,8.816138262022205,5.715186458004202,1.4788965883288474,-1.0939697359149099,-8.270202237711946,-2.0431613744225103,-47.53318813439747,-75.56639427511105,-5.150471716475882e-14,7.519898733369343,-2.5254845271617707,-0.6795292903425253
1,8.98019307358715,1.813512248305811,3.863458586108644,-2.508719230508245,-3.548975575892975,-4.78758414016863,-1.3795509089980984,-14.459704181906666,-4.2759181068300134e-13,6.241742152917911,-1.5604969591369284,-1.0079096889324741,8.809099581394769,5.7045538839005525,1.4836898989311165,-1.091492216324946,-8.243827600453619,-2.0574663075382214,-34.266950195272436,-76.11051129673493,1.0301162385125825e-12,7.515245912909298,-2.5096979103635713,-0.6886003855348622
2,8.978447996483936,1.7966072487151037,3.850464696439108,-2.5210389172328282,-3.546821994701126,-4.778780166162354,-0.6500300910030447,-14.076910857558772,4.653821904801884e-14,6.228607039682065,-1.5750462412179476,-1.0117039222189712,8.802276875878203,5.693951801945663,1.48812769261905,-1.0888864866544012,-8.218170773773542,-2.0715202484157564,-17.811703041272263,-75.77564571280631,4.6111977526445135e-14,7.51097434085499,-2.494609920801383,-0.6977624366816437
3,8.976826363909069,1.780587310171919,3.838176795530642,-2.5327169512721657,-3.5447310457886845,-4.770492128469853,0.05821794143939789,-13.695038959583806,5.96001142501526e-14,6.2161886643288495,-1.588787024585839,-1.0153227441539945,8.795710131445475,5.683648176439037,1.492278211723553,-1.0861641706688085,-8.193323247226823,-2.0853250530786385,-0.20378237929853746,-74.01387631783378,-6.116097420992689e-13,7.507100209050138,-2.4800423034560577,-0.7069565217219453
4,8.975346552004432,1.7654879898282605,3.8266123643307877,-2.543764400150529,-3.5426703039316423,-4.762710682326009,0.7425476233435008,-13.319424992695506,-5.153244896421005e-13,6.204495726067569,-1.6016490994214154,-1.0187425196781261,8.789364862727712,5.673388858434957,1.4960831982881075,-1.08331639253434,-8.1691796850212,-2.0988775715101062,15.62994134730965,-70.40613923082441,6.328106129977909e-13,7.503607819918477,-2.4661453342109296,-0.716231053978124
5,8.97398775893652,1.7512672254427275,3.8157542059024356,-2.5541843895596736,-3.540637604757993,-4.755444833196816,1.40159612341162,-12.945923179125954,-9.551422400153873e-14,6.193505587420161,-1.613672217906791,-1.0219884671207005,8.783253685961311,5.663331831455927,1.4995775847319015,-1.0803510716643647,-8.145811730269,-2.112179729815986,28.13353913498134,-64.78013435904184,8.619795059571112e-13,7.500494849964914,-2.4528316971646738,-0.7255575012250743
6,8.972780398748371,1.7379905161661724,3.8056260624165628,-2.5639685331447146,-3.5386526237660516,-4.748680621539975,2.0324285989465176,-12.580871295726718,1.5849639626205336e-14,6.183254611543468,-1.6248093025837687,-1.0250266770981997,8.777389402642772,5.653421458289061,1.5027485284405284,-1.0772876837277328,-8.123202620132652,-2.1252188268892613,37.4384743977972,-57.176060817239154,-1.5767903744052942e-13,7.497756444402103,-2.4401400475767323,-0.7349366991531829
7,8.971689995902377,1.7255588151535157,3.796196671482826,-2.573128999186339,-3.536697821185167,-4.742423536726783,2.6332074344052807,-12.224781379170947,7.322705428680451e-13,6.173699210707369,-1.63514186970838,-1.0278903333623899,8.771762873068672,5.643716553190905,1.5056082185347126,-1.0741136974978276,-8.101365996364372,-2.1379963979903045,44.32757505340267,-47.85353735112532,7.673335383782575e-13,7.495393371320871,-2.428025217863782,-0.7443581435279818
8,8.970744613757098,1.7141290972718812,3.7875053211993395,-2.5816628886777133,-3.534823713289026,-4.736663165792908,3.2021189495413456,-11.876526128956458,5.916536743967984e-13,6.164865146408942,-1.644561220150136,-1.0305380455734219,8.766391111445444,5.634118283181091,1.508136687421091,-1.0708460410025855,-8.08023364064937,-2.1504932506456993,49.48279372524567,-37.36254167288336,7.623482476157005e-13,7.4934097656483,-2.416517814660173,-0.7538221061809439
9,8.96992626913145,1.7035706928544905,3.779520721533672,-2.589596657116635,-3.5329799084121203,-4.731386870131073,3.7376461919192088,-11.539645952791256,-1.475012636654874e-13,6.156713152369853,-1.6531468536674472,-1.032983747340313,8.761273173221976,5.624667357404566,1.510349524516545,-1.0674981565944888,-8.059829363673963,-2.162692286126241,53.43687011861795,-26.605063503959475,-1.2800913479146464e-12,7.491788175279613,-2.4056002275621617,-0.7632982111795407
