frame,LTIB0_0,LTIB0_1,LTIB0_2,LTIB1_0,LTIB1_1,LTIB1_2,LTIB2_0,LTIB2_1,LTIB2_2,LTIB3_0,LTIB3_1,LTIB3_2,LHDF0_0,LHDF0_1,LHDF0_2,LHDF1_0,LHDF1_1,LHDF1_2,LHDF2_0,LHDF2_1,LHDF2_2,LHDF3_0,LHDF3_1,LHDF3_2,LFOF0_0,LFOF0_1,LFOF0_2,LFOF1_0,LFOF1_1,LFOF1_2,LFOF2_0,LFOF2_1,LFOF2_2,LFOF3_0,LFOF3_1,LFOF3_2,LHLX0_0,LHLX0_1,LHLX0_2,LHLX1_0,LHLX1_1,LHLX1_2,LHLX2_0,LHLX2_1,LHLX2_2,LHLX3_0,LHLX3_1,LHLX3_2,RTIB0_0,RTIB0_1,RTIB0_2,RTIB1_0,RTIB1_1,RTIB1_2,RTIB2_0,RTIB2_1,RTIB2_2,RTIB3_0,RTIB3_1,RTIB3_2,RHDF0_0,RHDF0_1,RHDF0_2,RHDF1_0,RHDF1_1,RHDF1_2,RHDF2_0,RHDF2_1,RHDF2_2,RHDF3_0,RHDF3_1,RHDF3_2,RFOF0_0,RFOF0_1,RFOF0_2,RFOF1_0,RFOF1_1,RFOF1_2,RFOF2_0,RFOF2_1,RFOF2_2,RFOF3_0,RFOF3_1,RFOF3_2,RHLX0_0,RHLX0_1,RHLX0_2,RHLX1_0,RHLX1_1,RHLX1_2,RHLX2_0,RHLX2_1,RHLX2_2,RHLX3_0,RHLX3_1,RHLX3_2
0,-86.30993787729611,-973.5818713126691,67.7062709118482,-86.47611294345651,-972.6032579378976,67.58502030316973,-86.35574844566725,-973.4667051843651,68.69856026214727,-85.32490628429409,-973.411423004934,67.73196400777171,-80.98594665527344,-1034.81982421875,19.110383987426758,-81.1208456855453,-1033.82989906279,19.153400696149237,-81.06562065998905,-1034.8739340491006,20.105735271764097,-79.9982957530796,-1034.6889796091666,19.196554652613305,-109.38219897506792,-837.6851702283926,18.930891137137813,-109.57693105663031,-836.7043140999442,18.93007156676247,-109.39184079272388,-837.6862489181101,19.930844071920635,-108.40138989488837,-837.4904394097898,18.940558428569098,-51.73024247563499,-855.1337870700419,19.46796442311406,-51.90800988619604,-854.2202551117889,19.102098178438677,-51.815338502641005,-855.5184525282392,18.54883921322281,-52.71062883515363,-855.2660438147482,19.614083345740436,92.70040112649193,-967.1986558460424,71.89818566238768,92.75267194054052,-966.2077202207961,71.77443450636646,92.77146424706216,-967.0787403786596,72.88842316600851,93.69650242399811,-967.2592105097791,71.83403476367059,91.05535125732422,-1029.8077392578125,19.390899658203125,91.03234919384951,-1028.8100833108872,19.455347440479414,91.1493976094786,-1029.8697588931216,20.38453382049959,92.05065331636075,-1029.778822542913,19.29850033527773,108.8340803684969,-831.2527864577854,22.97986274136661,108.94159856292893,-830.2589596283145,23.00721362599467,108.84132295931805,-831.2810790410224,23.97943618769858,109.82825710466822,-831.3600606986713,22.969622892828212,55.51507216542286,-852.3262881787249,22.769717060824537,55.53328533932337,-852.0653635993223,21.80452969861965,54.65139572568025,-852.8085254616327,22.62305346477161,55.01135469726238,-851.4900073844715,22.986288401109427
1,-86.30161098363223,-973.551013554026,67.71107137259439,-86.46844889240877,-972.5725196098257,67.5897671543729,-86.34740207829084,-973.435807183604,68.70335695037134,-85.31669053616196,-973.3799080503815,67.73665689149719,-80.9742202758789,-1034.8150634765625,19.121265411376953,-81.10921652416151,-1033.8251442098965,19.164112329969537,-81.05376533735938,-1034.8689940150607,20.11663673917948,-79.98657226360748,-1034.6841003424347,19.207289020669734,-109.384622004911,-837.6777708140612,18.924287460487378,-109.5794519428674,-836.6969341829017,18.923394011267426,-109.39422798260179,-837.6787680489249,19.924240824757547,-108.4038320067623,-837.4829413796879,18.933903646491242,-51.73137744574376,-855.1238928862928,19.46073037776461,-51.90929462897347,-854.2102055005416,19.095325346284696,-51.81379842394118,-855.5077539186223,18.541025267301542,-52.711965156387016,-855.2574071888155,19.604332859488583,92.68771727454316,-967.1840467103907,71.90524315151673,92.74030030005767,-966.1931207045272,71.78154724887153,92.75874261338015,-967.0642042374961,72.89549220247997,93.68380483428419,-967.2449025449014,71.84116397599782,91.0399169921875,-1029.8018798828125,19.399864196777344,91.01679521820003,-1028.804219332293,19.46419777669422,91.13386429402493,-1029.8637775957925,20.393515331535063,92.03522563177883,-1029.7728609396015,19.307567864836262,108.83564542347985,-831.2482981926796,22.976048987079515,108.94324100371189,-830.2544775740241,23.003321116622292,108.84285698877922,-831.2765090163246,23.975624968561267,109.82981401302614,-831.3556514756501,22.965846624853313,55.50906906835427,-852.3180421898376,22.766133234342657,55.528155125035255,-852.0497581627965,21.80298246562832,54.64922941775893,-852.8052234251693,22.61339090489632,54.998861759797784,-851.4869717206382,22.98751610974248
2,-86.29315778164917,-973.5217417259835,67.71589337033993,-86.4606250148146,-972.5433615938651,67.59453834204675,-86.3389352248159,-973.4064979992004,68.70817524014016,-85.30834350905101,-973.3500117038171,67.74138156316938,-80.9623794555664,-1034.810302734375,19.131959915161133,-81.09746318991613,-1033.8203884486977,19.174645881547793,-81.04180044555602,-1034.8640626292085,20.127350381288146,-79.97473342025658,-1034.6792318347836,19.21784197508685,-109.38695508834364,-837.6707400518544,18.91781661588581,-109.58188085495799,-836.6899225308787,18.916849115537072,-109.39652497745396,-837.6716555762134,19.917770404336835,-108.40618377823499,-837.4758140341906,18.92738139008655,-51.73239768392454,-855.1141876437462,19.45361919604279,-51.91046041676958,-854.2003553499507,19.088647687581847,-51.81231759389317,-855.497291477063,18.533377781582104,-52.71316599048953,-855.248879854785,19.59486910621315,92.67529201014824,-967.1696960294453,71.91207945780533,92.72818076724344,-966.1787797105313,71.78843630885217,92.74627856459004,-967.0499235433068,72.9023397572482,93.67136614818286,-967.2308466670081,71.84807234051155,91.02497863769531,-1029.79638671875,19.408506393432617,91.0017335466013,-1028.7987221095705,19.472732504405332,91.11882861801767,-1029.8581688535298,20.40217391781668,92.02029358630882,-1029.7672612073775,19.316311720843736,108.8370548168528,-831.2437345268739,22.97221710205666,108.94472711906758,-830.2499201325886,22.99941315042878,108.84423444155975,-831.2718661685263,23.971795545065017,109.83121533121898,-831.3511661816561,22.96205288905553,55.50333935116566,-852.3099615383554,22.762417171445346,55.523234953238756,-852.0349076298361,21.80119424598716,54.6470922845378,-852.8016376195452,22.604001288159996,54.98715612215745,-851.4837654486805,22.988149082119325
3,-86.28457131438053,-973.4940227686295,67.72074654705958,-86.45263373404985,-972.5157506304814,67.5993437183523,-86.33034096392437,-973.3787447962321,68.71302479848939,-85.29985807577981,-973.3217015197854,67.74614782500545,-80.95043182373047,-1034.8055419921875,19.14246940612793,-81.08559287320834,-1033.8156317078706,19.185003153994167,-81.02973355146888,-1034.8591397464895,20.137878124550415,-79.96278678289761,-1034.674374504839,19.228215330701392,-109.38919024050446,-837.6640785372801,18.911472842039153,-109.5842095565208,-836.6832796888667,18.91043104963682,-109.398723823326,-837.664912029394,19.911427049035392,-108.40843717414214,-837.46905821977,18.920985916153732,-51.73332607725959,-855.104672891905,19.446627706678342,-51.91152286802211,-854.1907375000162,19.081979927012895,-51.810895390990474,-855.4871458618143,18.525922852310696,-52.71425874840948,-855.2404540641706,19.585676503612756,92.66313226044278,-967.1556418968241,71.91868062687112,92.71632367705286,-966.1647356022112,71.7950869842536,92.73407854141773,-967.0359358314382,72.90895184382416,93.65919315136001,-967.2170843349779,71.85474684566836,91.01054382324219,-1029.79150390625,19.416826248168945,90.98717197216273,-1028.7938357822543,19.480951679474177,91.10429813664663,-1029.8531768806527,20.410509584522327,92.00586481935107,-1029.7622676515089,19.32473196977159,108.83830323093522,-831.2390951501659,22.968355258861237,108.94605109017371,-830.2452869400823,22.995477950467638,108.84544954176194,-831.2671501834498,23.96793609368602,109.83245579924207,-831.3466040180695,22.95823032671265,55.49797603868274,-852.3019183556061,22.758535661426652,55.5186006755412,-852.0208389188849,21.799072804090837,54.64511766505178,-852.7977702993131,22.594940293370463,54.97624122205458,-851.4802583284815,22.98802984641519
4,-86.27585722967447,-973.4678132649176,67.7256247540544,-86.44448178034791,-972.4896434151696,67.60417721001151,-86.32162481491437,-973.3525042602089,68.71789949502808,-85.29123999995954,-973.2949330217522,67.75094929692422,-80.9383773803711,-1034.80078125,19.15279197692871,-81.07360541149947,-1033.8108739614447,19.195182302028325,-81.01756464801461,-1034.85422542038,20.148218065242418,-79.95073232457408,-1034.6695285139626,19.238407180265618,-109.39133576057739,-837.6577867151215,18.90525100223015,-109.58644669425443,-836.6770061701995,18.90413464104908,-109.40083274339095,-837.6585378053286,19.905205622790973,-108.41060056141448,-837.4626740334062,18.91471200412074,-51.73417406958374,-855.095346603986,19.439747150554993,-51.91250344568335,-854.1813068843732,19.0754258300287,-51.809546105223724,-855.4772041575775,18.518604455307113,-52.71525392864894,-855.2321537665731,19.57673660416893,92.65123227491901,-967.1418074319004,71.92505263409123,92.70472081140126,-966.1509112788403,71.80150592099925,92.72213710455732,-967.0221647517303,72.91533447993902,93.64728020629528,-967.2035362171839,71.86119282303237,90.9966049194336,-1029.7869873046875,19.42482566833496,90.97310268129964,-1028.7893162096966,19.48885715295287,91.09026524458176,-1029.848557463528,20.418524243876597,91.99193169406384,-1029.7576359544628,19.332830505722203,108.83939541267878,-831.2343808518483,22.964475405263748,108.94721806792168,-830.2405788240865,22.99152729305238,108.84650760205278,-831.2623617431601,23.964058561626292,109.8335401163204,-831.3419661637545,22.954390323044752,55.49285894520518,-852.294042592497,22.754530454622476,55.514144203127344,-852.0075663919321,21.796679566276563,54.64314014600551,-852.7936895192449,22.586212568234764,54.9660526239809,-851.4765559962148,22.98731955405996
5,-86.267004689581,-973.4431159059471,67.73052763550788,-86.4361582543611,-972.465042568445,67.60903846730893,-86.31277595691071,-973.3277791080959,68.72279897649706,-85.28247837575834,-973.2697089581944,67.75578566119991,-80.92621612548828,-1034.7960205078125,19.16292953491211,-81.06150153436903,-1033.806115297222,19.205185093005152,-81.0052937403068,-1034.8493195801498,20.158372119756965,-79.93857014185923,-1034.6646931194514,19.24841946465613,-109.39340469898636,-837.6518033070874,18.899154683754723,-109.58860505893871,-836.671040644432,18.897963459381284,-109.40286504277978,-837.6524716560557,19.899109710345904,-108.4126869407247,-837.4566004565686,18.90856349768238,-51.734890500171105,-855.086271535379,19.43299575049277,-51.913344923001496,-854.1721517585414,19.068936617154826,-51.80824837398654,-855.4676004896631,18.511471550607684,-52.71610028473379,-855.2240150006289,19.5681034721795,92.63960871879972,-967.1283455163396,71.9311913800585,92.69338948389498,-966.1374597105281,71.80768854953584,92.71047082715965,-967.0087627517794,72.9214835208023,93.63564395457432,-967.1903558562958,71.86740637528501,90.98316192626953,-1029.782958984375,19.432504653930664,90.95952600744445,-1028.785285453587,19.496448921118652,91.07672997814899,-1029.8444326990862,20.426217893284495,91.97849421400502,-1029.7534885184045,19.34060727297392,108.84031810513895,-831.2296522947386,22.960566711192495,108.94821477135517,-830.2358564453605,22.987550394748595,108.84739496590701,-831.2575615138347,23.96015212201596,109.83445503105061,-831.3373132683932,22.950522444637393,55.48807182649858,-852.2862056005825,22.7503740265361,55.50994431937902,-851.9950070851286,21.79396144890414,54.64118663765497,-852.7892188789032,22.577854118263204,54.95674605922157,-851.4724605136969,22.985983581938473
6,-86.2580230845223,-973.4199984756943,67.7354484399076,-86.42767223756694,-972.4420158263151,67.61392024406624,-86.30380376344992,-973.3046366276475,68.72771643468127,-85.2735824848373,-973.2460974074733,67.7606501097608,-80.91394805908203,-1034.791259765625,19.172880172729492,-81.04928086631541,-1033.8013556585697,19.21500961755651,-80.99292075671808,-1034.8444221868083,20.16833839385282,-79.9263001743,-1034.6598686859847,19.258250190162705,-109.39542103878165,-837.6461899694757,18.893171357399346,-109.59070937001502,-836.6654449140008,18.891904927129684,-109.4048445705077,-837.6467751694333,19.893126783701348,-108.41472043985561,-837.4508984087196,18.90252772226796,-51.73554297518649,-855.0773205210002,19.426354116719303,-51.91411428733372,-854.1631511602201,19.062476848551878,-51.80702181141034,-855.4582176391839,18.5045037159864,-52.71687016957687,-855.2159270330055,19.559715176926527,92.62824564337107,-967.1150868289824,71.93710733183795,92.6823135206018,-966.1242114845538,71.81364593521837,92.6990638213627,-966.9955610975899,72.92740950047187,93.62426845953429,-967.1773736762183,71.87339784789953,90.97021484375,-1029.7794189453125,19.439865112304688,90.94644198085587,-1028.7817435145976,19.503728920031598,91.0636923054458,-1029.8408026202446,20.43359244342059,91.9655523820478,-1029.7498253750753,19.348064211133277,108.84107724444567,-831.2248490344696,22.95664559324574,108.94904705136122,-830.2310593476293,22.98356360068478,108.84811791558008,-831.2526890157509,23.956233190403804,109.83520648641806,-831.332584793492,22.946642769480462,55.48354305704244,-852.2785373086889,22.746097325840775,55.50593404004191,-851.9832438047159,21.790953153272227,54.63917758055739,-852.7844963301887,22.569880383740678,54.94824352780625,-851.4681008737514,22.984104046177062
7,-86.24890287800821,-973.3984160530197,67.7404033207298,-86.41901400954103,-972.4205180945488,67.6188394044262,-86.29469865654278,-973.2830326216373,68.73266810919648,-85.26454270530868,-973.2240536528845,67.76555891299274,-80.90158081054688,-1034.7864990234375,19.182641983032227,-81.03695146541881,-1033.7965950960463,19.224653890092124,-80.98045319252934,-1034.8395331860095,20.17811499871909,-79.91393009639741,-1034.655054768578,19.26789733303733,-109.39741944429815,-837.6408866236277,18.887299432453744,-109.59279453365312,-836.6601589483474,18.88595727041811,-109.40680638804972,-837.6413881616726,19.887255248350925,-108.41673577473567,-837.4455075679463,18.896603456017534,-51.736055046471606,-855.0686182830653,19.419846276335715,-51.9147399321709,-854.1544086643322,19.056125937836,-51.80584832072249,-855.4491338728294,18.49770920148413,-52.71748288920482,-855.2080050075488,19.551644343642554,92.61716054341164,-967.1021015147363,71.94276861989295,92.67151156249456,-966.1112368873995,71.81934553851248,92.68793335046506,-966.9826293230736,72.93308049258815,93.61317117413122,-967.1646609721518,71.87913578417533,90.957763671875,-1029.7762451171875,19.446908950805664,90.93385053260421,-1028.7785683217828,19.510699025904486,91.05115226340413,-1029.83754511881,20.440649802724952,91.95310619218769,-1029.7465243885295,19.35520319555761,108.84168104535287,-831.220032372729,22.9527020506792,108.94972334062997,-830.2262488517525,22.97955676845937,108.84868452901505,-831.2478053954466,23.95229177172765,109.83580267455518,-831.3278422639492,22.942741442905103,55.479305267062394,-852.2709110530942,22.741691472602064,55.502139770142186,-851.9722055159968,21.787619364438065,54.63713534769696,-852.7794177792159,22.562329446506826,54.94057675251622,-851.4633245799556,22.981640792289603
8,-86.23964645533839,-973.3783748604153,67.74538634867903,-86.41018565657724,-972.4005555558696,67.62378952101234,-86.28546312633172,-973.2629728314081,68.73764800991567,-85.25536132718705,-973.203584187441,67.7705062041981,-80.88912200927734,-1034.78173828125,19.19221305847168,-81.0245210820819,-1033.791833619288,19.234115937958272,-80.96789866533715,-1034.8346525254458,20.187700035393643,-79.90146755070202,-1034.650251236311,19.277358977161327,-109.39943858298781,-837.6358323861078,18.881522133615885,-109.59489947057658,-836.655121914308,18.880103710114174,-109.4087890953456,-837.63624973464,19.881478329525912,-108.41877166229473,-837.4403667975189,18.890773854316386,-51.73648264936586,-855.060098608861,19.41345162441415,-51.9152734633482,-854.14587859744,19.049809471256907,-51.804740103624056,-855.4403309344387,18.491082772747966,-52.71799921304358,-855.200188399007,19.543836002018075,92.60633488391551,-967.0894455978062,71.94819702729514,92.66096376656155,-966.0985918287901,71.82480945252634,92.67706114611246,-966.970023695228,72.93851829083553,93.60233361936476,-967.152272483859,71.88464152893017,90.94579315185547,-1029.7735595703125,19.453641891479492,90.9217370349972,-1028.7758819241233,19.517364866426803,91.03909454316126,-1029.834782231,20.447395702138223,91.94114040463819,-1029.7437082702943,19.362029958495228,108.84211993254965,-831.2151424868911,22.948746397142656,108.95023418303388,-830.2213651413059,22.97553998301446,108.84908561697074,-831.2428506432601,23.94833818247864,109.83623400451664,-831.3230259678892,22.93882841121034,55.47528231052388,-852.2633942641777,22.73718833392666,55.4984937993912,-851.9618793143834,21.784009462027424,54.63495898824027,-852.7740188515124,22.555201398034473,54.93369396056536,-851.4581916400763,22.97870602133169
9,-86.23027504871058,-973.359932132758,67.75040353629966,-86.40120856137796,-972.3821854037157,67.62877677898805,-86.2761182207065,-973.244514649888,68.74266217608532,-85.24605955511757,-973.1847461216302,67.77549783199738,-80.87657165527344,-1034.7769775390625,19.201595306396484,-81.01198980476727,-1033.7870712241768,19.243397370184525,-80.95525695775969,-1034.8297798878873,20.197095449606532,-79.88891252988638,-1034.645457959882,19.286636780583102,-109.40151447824992,-837.6310886721974,18.875832811102917,-109.59706115225902,-836.6503954162132,18.874337501420687,-109.41082895575781,-837.6314212638237,19.875789375105356,-108.42086431698306,-837.4355365639248,18.885032493564236,-51.73679838933163,-855.0517578301849,19.40717862296219,-51.91569530008896,-854.1375261764854,19.043617928311,-51.80369050634065,-855.4317268070505,18.484601243388113,-52.7183896179006,-855.1924847287988,19.53630878985969,92.59578557767983,-967.0770824717713,71.95337149982264,92.65068792965812,-966.0862397551591,71.83001655389931,92.66646389575438,-966.9577075806544,72.94370185416153,93.59177267955485,-967.1401724575641,71.88989436542555,90.93431091308594,-1029.7713623046875,19.460067749023438,90.91010900818453,-1028.77368432778,19.523730314107205,91.02752682444071,-1029.8325140032155,20.45383395072153,91.92966264070259,-1029.7413769055563,19.368548274759753,108.84239363748355,-831.2102409738613,22.944775595240422,108.95057919005319,-830.2164697943733,22.97151001190028,108.8493209422613,-831.2378861620917,23.94436939074749,109.83650022063433,-831.3181973835212,22.934900629436175,55.47146915369972,-852.2559918319224,22.732592321689346,55.49499089726537,-851.9522698758173,21.78012200668773,54.63262291648909,-852.7682930193693,22.54851493671727,54.92760913687811,-851.452685871083,22.975318124566925
